Date,ID,Source,Content,Username,Location,Verified,Likes,Retweets,Place
2023-02-21 21:01:50+00:00,1.63E+18,Twitter for iPhone,"In the land of #nofuel, &amp; c
time of #nocash, the #Hope
of a great Nation Rest on
the shoulders of a young
man

His name is ?",Oba_Temitope1,,FALSE,0,0,
2023-02-19 06:25:07+00:00,1.63E+18,Twitter for Android,"This time next week, we'll have a President-elect or a leading Candidate
I pray we wouldn't regret voting him later🙏🙏🙏

Time to think before we act so our action don't cause us thinking again
#NoCash #Nofuel  #naija  #2023election #insecurity #corruption #RMK2023 @aynigeria_",Dr_GbeTV,"Abuja, Nigeria",FALSE,2,1,
2023-02-17 19:44:34+00:00,1.63E+18,Twitter for iPhone,This Human is about to realize that feelings is the least of (Insert pronoun) worries. #WarInUkraine #famine #Starvation #CivilUnrest #GetRightWithJesus #NoFuel #NoPower #disease,smokejumper61,Washington State,FALSE,0,0,
2023-02-17 08:49:07+00:00,1.63E+18,Twitter for iPhone,"God should send @D_DeGea to Nigeria 🇳🇬 to save our lives in this our Cashless Era exactly the same way he saved Raphinha’s shot.. 
#Nofuel ⛽️, #Nofood #Nocash 💰 even in the Banks 🏦, #ThemassesBanedFromUsingOldNairaNotes #EndBadGovernanceInNigeria 🇳🇬 @PeterObi @victorosimhen9",agarnacho7__,"Manchester, England UK",FALSE,3,0,
2023-02-16 10:34:51+00:00,1.63E+18,Twitter for Android,"Only February in this country 😂
#nocash 
#nofuel
#harmattan
What's next biko",Daniel21760619,,FALSE,0,0,
2023-02-15 19:47:23+00:00,1.63E+18,Twitter Web App,"I have been calling my lawyer the whole day to help me join the new naira suit at the S*court but his line has not been connecting. I understand he does not have network on his phone.

What should I do now?

#Newnote #Nocash #NoFuel @Nonetwork #Cbn #Court #banks #atm #pos",RealBennyjay,,FALSE,1,0,
2023-02-13 17:05:52+00:00,1.63E+18,Twitter for Android,"Dear Mr and Miss Valentine,
 Please take am easy, Ma para eeee. February 14  will come and go. No kill your self looking for what’s not lost🤫

T' oju emi eeeee

#NoCash #NoTransfer #NoFuel

#selfcare #selflove

#happyvalentinesday #ValentinesDay #ValentinesWeek #valentines",Osunniyitoba,Nigeria,FALSE,1,1,
2023-02-13 10:33:18+00:00,1.63E+18,Twitter for Android,"Alot of people going through so much struggle in Nigeria now.. #nocash #nofuel #Elections2023
Here's something to encourage you.
@Naija102FM @Joypanam @QueenTemiT1 
Stream here
https://t.co/uHYTCjsdh7 https://t.co/4HL7CzOsyT",iamsegunisrael,"Lagos, Nigeria",FALSE,2,2,
2023-02-12 16:45:04+00:00,1.62E+18,Twitter for iPhone,Where is our president buhari @MBuhari  please intervene in our problems here in Nigeria for now that you are still on power baba please help Nigerians are dying  #nocash #nofuel,YourEx247,,FALSE,0,0,
2023-02-12 14:50:58+00:00,1.62E+18,Twitter for Android,"In the face of these excruciating circumstances, the president finds it not worthy of a national broadcast. Sad. #nocash #notransfer #nofuel",ClemIgyu,Nigeria,FALSE,0,0,
2023-02-11 21:40:15+00:00,1.62E+18,Twitter for Android,"it's partial wickedness &amp; partial ignorance to employ someone and pay them anything less than #40k in this present Nigeria.
If the job is that simple, you could have just done it yourself 🙄🙄🙄

#LagosObiDattiRally 
#LagosObiDattiRally 
#NigeriaDecides2023 
#nocash 
#nofuel https://t.co/VlLUGjzgEy",Vicxnation,,FALSE,1,0,"Place(id='011a942e0a0e8fb2', fullName='Lagos, Nigeria', name='Lagos', type='admin', country='Nigeria', countryCode='NG')"
2023-02-10 19:24:29+00:00,1.62E+18,Twitter for Android,Am i the only one that can't open my @MyFCMB banking app? #CashAppFriday #CashLessPayment #Nocash #Nofuel #CBN #Traffic #mybankandI,omotayocaleb,Lagos,FALSE,1,0,"Place(id='01eddd9d0dbec2c8', fullName='Ikeja, Nigeria', name='Ikeja', type='city', country='Nigeria', countryCode='NG')"
2023-02-08 18:25:06+00:00,1.62E+18,Twitter for Android,@JoeBiden #stirlingenginegenerator #ecofriendly #nofuel und 24/7 can go almost anywhere.  Use in ships power generator or vehicles. https://t.co/B2eZ4rdacW,colin86943173,"Prince George, British Columbi",FALSE,0,0,
2023-02-08 13:30:26+00:00,1.62E+18,Twitter for Android,"I lose lot of business opportunities, money and love just because of the ugly standard our leaders has placed Nigerians😭😭
#nofuel #voterscard
#itstimetoheal #BadGovernance #Nigerians #fiveattitude #Votewisely2023",fiveattitude,Nigeria 🇳🇬,FALSE,0,0,
2023-02-08 11:54:06+00:00,1.62E+18,Twitter for iPhone,"Pray For Nigeria 🇳🇬 💪

#Trending #Nigeria #Nofuel #newnotes #bigproblem",Y_olo234,Somewhere  In The World 🌍,FALSE,0,0,
2023-02-08 11:02:00+00:00,1.62E+18,Twitter Web App,"Every day, we go through life as Nigerians with expectations that harm might come from somewhere. It’s a terrible place to be in from 
#Nonaira
#Nofuel
#Endsars
#militaryforce",TundeBodunrin,Lagos,FALSE,1,3,
2023-02-08 10:37:00+00:00,1.62E+18,Twitter for iPhone,"No body get mood swings pass Nigerians.
Every moods are base on how the country is treating us.
Person go wake up some times and be happy 
And another morning, it will be as if everyone should get out. 
#nocash #notransfer #nolight #nofuel #nonewnotes #nolover",Fadesholag,"Lagos, Nigeria",FALSE,5,1,
2023-02-08 10:17:27+00:00,1.62E+18,Twitter for iPhone,"@MBuhari  @NGRPresident @OfficialAPCNg  No fuel, No cash and then the banks starts having network problems all of a sudden. What have we Nigerians done to deserve this ? #nigeria #nofuel #accessbank #TurkeyEarthquake #nigeriangovernment #APC",munigold,,FALSE,0,0,
2023-02-07 20:21:04+00:00,1.62E+18,Twitter for Android,@Japan_GSDF #stirlngenginegenerator #nofuel #energyindependace https://t.co/sQYhfaorAx,colin86943173,"Prince George, British Columbi",FALSE,0,0,
2023-02-07 20:20:03+00:00,1.62E+18,Twitter for Android,@JapanGov #stirlingenginegenerator #nofuel #cleanenergy #energyindependace #energyefficiency https://t.co/xoI0RshTQs,colin86943173,"Prince George, British Columbi",FALSE,0,0,
2023-02-07 20:12:08+00:00,1.62E+18,Twitter for Android,"Please be SAFE out there, if you are in Nigeria 🇳🇬. #nonaira #nofuel #Elections2023 #nopvc",blissfulfran,"Lagos, Nigeria",FALSE,0,0,
2023-02-07 18:43:42+00:00,1.62E+18,Twitter for Android,"Nothing is Impossible, wen u believe and trust the Process!
#nofuel #fuelscarcity",Bannarboi1,"Lagos, Nigeria",FALSE,10,1,
2023-02-07 18:22:48+00:00,1.62E+18,Twitter for Android,"#Making of the Non fuel Consumption Generator
.
Can build from 1.5 kva to 20kva, with available resources and standard materials
.
.
.
.

thanks king @bod_republic
#bannarboi #nofuel #fuelscarcity https://t.co/tKQSlkYLB4",Bannarboi1,"Lagos, Nigeria",FALSE,24,8,
2023-02-07 18:00:38+00:00,1.62E+18,Twitter for Android,"Sadly the country wasn't hard like this during Covid-19 period 🤦🤦😥
#NoLight_eletricity #Nofuel #Nocash #Badgovernment #Change",promzymoses,,FALSE,0,0,
2023-02-07 14:28:44+00:00,1.62E+18,Twitter for iPhone,Mood!!!!! Please remove me! #nofuel #nonaira #naija #stateinnaija #ladywithboard https://t.co/buHyUqkwif,TheEbeleUdoh,Nigeria,FALSE,3,0,
2023-02-07 09:08:23+00:00,1.62E+18,Twitter for Android,"i had over 15 failed Experiments, but i never give up, it was not an easy one as a Street boy
#nofuel #fuelscarcity #GRAMMYs #Nigerians https://t.co/TBe8JASzqN",Bannarboi1,"Lagos, Nigeria",FALSE,57,16,
2023-02-07 07:58:03+00:00,1.62E+18,Twitter for Android,"Thank you Boss @bod_republc am speechles God bles you more Baba.
Pls support, Follow  and Retweet
God bless Everyone am so grateful...
 #fuelscarcity #nofuel #Grammys2023",Bannarboi1,"Lagos, Nigeria",FALSE,31,7,
2023-02-06 18:37:38+00:00,1.62E+18,Twitter for Android,"would love to Build a bigger  Fuelless Generator, to power a whole Building and Offices 
#fuelscarcity #nofuel #power #generator https://t.co/41oSy45vrt",Bannarboi1,"Lagos, Nigeria",FALSE,54,20,
2023-02-05 20:18:27+00:00,1.62E+18,Twitter for Android,"If you are a banker at this time, ppl avoid neck ties #bankworker #nofuel #nocashcirculation #NairaRedesign",Godspowerokoch4,Ebute metta oyingbo ...lagos,FALSE,1,0,
2023-02-05 16:07:56+00:00,1.62E+18,Twitter for Android,"Cutting and making of the Fuelless Gen from the scrach, with Scrabs and Local materials 
#nofuel #fuelscarcity #fuellessgenerator #NairaScarcity #NairaRedesign #bannarboi #inventormaik https://t.co/QZEh5I5mC3",Bannarboi1,"Lagos, Nigeria",FALSE,6,3,
2023-02-04 21:22:59+00:00,1.62E+18,Twitter for iPhone,@TeaserPrank2_ #nofuel https://t.co/KizgHQx3O0,IfeanyiMadukae2,,FALSE,0,0,
2023-02-04 21:07:01+00:00,1.62E+18,Twitter for Android,"237 Free Electricity is very much Possible, Non Fuel consumption Generator made in  Nigeria, with local and Scrab materials #inventormaik #bannarboi #nofuel #fuelscarcity #nairascarcity https://t.co/jeATVSL23A",Bannarboi1,"Lagos, Nigeria",FALSE,4,0,
2023-02-04 20:45:49+00:00,1.62E+18,Twitter for Android,"Free Electricity, Generator #nofuel consumption, no oil, no carbon, very low noice #inventormaik #oyekunlemichael #bannarboi #fuelscarcity #nairascarcity https://t.co/z78lvDRf7j",Bannarboi1,"Lagos, Nigeria",FALSE,11,3,
2023-02-04 20:28:27+00:00,1.62E+18,Twitter for Android,"God Abeg, Everyone needs 247 Free Electricity! No one deserves to be in darkness, #Nofuel #fuelscarcity #fuellessgenerator https://t.co/ilXyFgUezL",Bannarboi1,"Lagos, Nigeria",FALSE,12,1,
2023-02-04 20:03:40+00:00,1.62E+18,Twitter for iPhone,"@bod_republic OFF AM💯💯💯💯
#NOFUEL
#NOLIGHT
#NOTRANSFER 
#NOCASH 

JUST BE LIKE WOOD THIS PERIOD💯💯💯💯💯💯",officialgplitle,,FALSE,3,0,
2023-02-04 18:23:38+00:00,1.62E+18,Twitter Web App,As I welcome to SNF w @iambenjaminokoh and on #Jazz4U I wish you a great weekend even in the face of #NoFuel #NoCheese,ClassicFM973,"Lagos, Nigeria",FALSE,2,2,
2023-02-04 16:56:45+00:00,1.62E+18,Twitter for iPhone,"#NOCASH #NOFUEL #NOFOOD #NOPEACE 

#APC &amp; #PDP have clearly failed us🤦🏾‍♂️ now e don reach everybody even there campaign celebrities are crying out now👌🏻

#Zenith #mribu #FearBuhari #uniben #NigerianArmy #CBN @CBNNews",stycent,"Rivers, Nigeria",FALSE,0,0,
2023-02-04 11:40:23+00:00,1.62E+18,Twitter for Android,"@firstladyship @DocOmeiza Tinubu is not fit to be Nigerian president, he can not speak by himself, is this how he will be representing us outside the country?????
God will not shame us. #SayNoToAPC #SayNoToAPC  #NoNaira  #Nofuel",emphileelect,"Lagos, Nigeria",FALSE,0,0,
2023-02-04 06:18:05+00:00,1.62E+18,Twitter for Android,@HubNutVids #nofuel,CzechBound,Moving around,FALSE,0,0,
2023-02-03 19:34:51+00:00,1.62E+18,Twitter for Android,"Shege promax in Nigeria rai now😩😩☹️

It has never been this tough😩😩

Dear Lord, please show us your mercy🙏🏻🙏🏻

Zenith bank Rivers state Access Babachir
#nofuel 
#NoCash 
#newnotes",abigailatuogu,Nigeria,FALSE,0,0,
2023-02-03 19:14:21+00:00,1.62E+18,Twitter for Android,"Ikegwuru na obodo Nigeria...

#nofuel #nocash #nobanknetwork https://t.co/trdNQ8j2A1",iam_joyvilla,"Accra, Ghana",FALSE,1,0,
2023-02-03 16:17:46+00:00,1.62E+18,Twitter for Android,"I don't like joining public protest but if anyone should call for public protest for what is going on in Nigeria now #nocash, #nofuel, #highcost, people are even dying of hunger and in the banks.. I will join the protest with my full chest.
Nigerians can truly endure.
#Trending",JQueChijinwa,"Port Harcourt, Rivers State ",FALSE,1,0,
2023-02-03 16:01:54+00:00,1.62E+18,Twitter for iPhone,THE SITUATION OF THE COUNTRY 🇳🇬 #NairaRedesign #Nofuel https://t.co/irtOWzIynf,oladipooseni,Nigeria ,FALSE,2,1,
2023-02-03 13:57:45+00:00,1.62E+18,Twitter for Android,"What a Country...
#NoSecurity 
#NoFood
#NoFuel
#AndNowYouAreDeniedEvenYourMoney
May God Bless This Country With Good Leaders and Followers. Amin",docmed2012,"Gombe, Nigeria",FALSE,1,0,
2023-02-03 13:51:49+00:00,1.62E+18,Twitter for iPhone,Time to speak up Nigerians 🇳🇬 … this Administration is a failed one and the time is now #RevolutionNow #TimeForAProperChange #NoFuel #ScacityOfCurrency #NoLight #NoToBadGovernment #,joashbourg,Nigeria,FALSE,0,0,
2023-02-03 13:35:02+00:00,1.62E+18,Twitter for Android,"This is de best time to steal
#nofuel #nomoney
 Nobody go burn you",hotchasejnr,,FALSE,0,0,
2023-02-03 12:50:49+00:00,1.62E+18,Twitter for iPhone,Riot in Ibadan Atm….major roads blocked #nocash #nofuel,ObecNG,"Nnewi, Nigeria",FALSE,1,0,
2023-02-03 12:05:36+00:00,1.62E+18,Twitter for Android,"A bank in Nigeria organizing marathon event for already frustrated, agitated , angry customers and populace is a high level of insensitivity to me.  I pray the event is not hijacked.
#NewNigeria #sensitiveleadership #nofuel #nairanote",Olamitubosun,Lagos,FALSE,0,0,
2023-02-03 09:33:42+00:00,1.62E+18,Twitter for Android,"At this point how many people still no dey shame for Nigeria?
#nofuel! 
#nocash! 
#noleadership!",IfaghaM,"Port Harcourt, Nigeria",FALSE,0,0,
2023-02-03 09:15:08+00:00,1.62E+18,Twitter for iPhone,"Nigerians will be suffering and still have blind excuses about why they are suffering, for a country with one of the smartest minds in the world, what does that say about us 🙃. #NewNotes #NoCash #NoFuel",cypheroflagos,"Lagos, Nigeria",FALSE,3,2,
2023-02-03 08:56:24+00:00,1.62E+18,Twitter for Android,"I have my PVC and I'm voting out bad governance.
#nofuel
#Nomoney
#nofood",ugo_solomon,Calabar. Crs,FALSE,1,0,
2023-02-03 08:10:46+00:00,1.62E+18,Twitter for Android,"Reality is encroaching on the territories of fiction in Nigeria. 

#CentralBankofNigeria #Emefiele #APC #Buhari #nofuel #nomoney",ThisDumebiii,,FALSE,0,0,
2023-02-03 06:48:03+00:00,1.62E+18,Twitter for Android,"Vote 4 better person, you say NO. Now even @nnpclimited no get fuel. Abeg how we wan survive for this country
#NoNewNote #NoFuel #NoLight. Government una well done oo 👏🏽👏🏽👏🏽",the__bukunmi,World ,FALSE,0,0,
2023-02-03 06:16:57+00:00,1.62E+18,Twitter Web App,"Congratulations
Our First GPS Enabled Scooty Sale
Visit For E-scooters
👉🏻 Book Now:-
📍3535 / 1B, Raja Park Rd, Multani Mohalla, Rani Bagh, Shakurpur, Delhi, 110034
Call us at +91 88105 45446
#environmentallyfriendly #nofuel #electricvehicle #electricvehicles #electricalvehicle https://t.co/Vyb3gU8eCo",orpidgreentech,,FALSE,0,0,
2023-02-03 05:10:06+00:00,1.62E+18,Twitter Web App,"A broken nation and the disheartening war of misgovernance. 🇳🇬

#APC #NoFuel #NoMoney #CBN #NairaRedesign",ThisDumebiii,,FALSE,1,0,
2023-02-02 21:35:43+00:00,1.62E+18,Twitter for Android,"#ZenithBank
May GOD keep protecting us in Nigerian in Jesus name Aman

Notwithstanding

If you have not given your life to Jesus Christ, do it now before it will be too late, repent now and GOD will help and forgive you in Jesus name Aman. 
#Uniben #soldiar #Nofuel",GodwinGTTaiwo,,FALSE,3,0,
2023-02-02 20:36:42+00:00,1.62E+18,Twitter for Android,"When does it end?
The unnecessary hardship, when does it end?
Why's everyone acting like everything is ok!
Why do we just adjust and adapt? Why?
Why's everyone quiet?
#nofuel
#nocash
I'm hurt from all the stress I've encountered just to get basic things.",Eme_qpearl,Calabar,FALSE,3,1,
2023-02-02 19:38:48+00:00,1.62E+18,Twitter for Android,"Nigerians are currently suffering three major queues. Queue to get fuel, queue to get voters card and queue to get your own hard earned money. This suffering is just too much. #AccessBank #afranky #nofuel",Afrankytweet,"Warri, Nigeria",FALSE,1,0,
2023-02-02 18:57:19+00:00,1.62E+18,Twitter for Android,"This Is A Pencil Drawing of #mccluretwins Done by me✍️..
Please Kindly #Retweet🙏 🥺
 #Support my Hustle #blackexcellence

@BBCAfrica @DONJAZZY @IAmSteveHarvey @ARISEtv #AccessBank #mcoluomo #Nigerianarmy #Wike #yuledochie #nofuel #CentralBankofNigeria #drawingwhileblack #art https://t.co/C2Pwr5tYWk",charlse_mbehart,,FALSE,1,0,
2023-02-02 18:45:04+00:00,1.62E+18,Twitter for Android,"Despite the Scarcity of Fuel, and Money, it is so sad that some NIGERIANS will still go and vote for those  behind all these PROBLEMS. For once in our life let Us be OBI-dient and do the right thing.
Vote PO
Vote LabourParty
#NigerianArmy
#dropped
#noFuel",AkinmoyeOverco2,,FALSE,0,0,
2023-02-02 18:33:25+00:00,1.62E+18,Twitter for iPhone,"#NoCash
#NoMoney
#NoFood
#NoPOS
#NoFuel
#NoLight

Just #PVC #wwwWDD #StressAway #TeeMirror #GalaxyS23Ultra #BiggBoss16 https://t.co/4VZ1wRPSGg",iam_teemirror,#InspireYourGeneration™,FALSE,3,1,"Place(id='01eddd9d0dbec2c8', fullName='Ikeja, Nigeria', name='Ikeja', type='city', country='Nigeria', countryCode='NG')"
2023-02-02 17:20:40+00:00,1.62E+18,Twitter for Android,"Ibadan: Civil Society Organizations Protest Against Hardship Over Fuel, Money, Light Scarcity Among Others
:

#nofuel 
#nomoney 
#ibadanprotest https://t.co/XZmpL4QobE",dobleaexclusive,"Ibadan, Oyo State, Nigeria.",FALSE,2,0,
2023-02-02 17:00:32+00:00,1.62E+18,Twitter for Android,"This access bank wahala plus no fuel don kill my interest for BBtitans 
#AccessBank #Nofuel #BBTitans",AdekunbiBolu,,FALSE,0,0,
2023-02-02 16:31:53+00:00,1.62E+18,Twitter for iPhone,"Join the conversation as we countdown to the 2023 elections and discuss ‘Fuel Scarcity &amp; The General Elections’

Watch #PlusPolitics hosted by @mimieyo showing TONIGHT at 7:30PM On Dstv Ch. 408 &amp; StarTimes Ch. 308
.

#election #2023election #nofuel #fuelscarcity #fuel https://t.co/vEUtp2nvfN",PlusTVAfrica,"Lagos, Nigeria",FALSE,1,0,
2023-02-02 16:16:57+00:00,1.62E+18,Twitter for Android,"Classy Corset Sexy top😘💋
Size:Small-Xlarge 
Price:#12,500 NGN
ORDER VIA
WHATSAPP (Link in Bio/Send A Dm)
Nationwide Delivery Available 🚚 
#FirstBank 
#Dropped
#AccessBank 
#NoFuel https://t.co/ll5TYVHDEo",AnasoronyeC,"Abuja, Nigeria,Lagos Nigeria",FALSE,1,0,
2023-02-02 16:12:34+00:00,1.62E+18,Twitter Web App,"Today, being a Nigerian is terrible, No cash, No fuel, No food, just you and your head.

#cbn,#kudabank #nofuel #Tinubu",YusufKolawoleO1,,FALSE,0,0,
2023-02-02 15:53:40+00:00,1.62E+18,Twitter for Android,My secret talent is getting tired without doing anything. #Sapa #nofuel #lovetweet #comedy #attitude,iam_Mide_Poet,Lagos nigeria,FALSE,0,0,
